Boston Symphony Orchestra,A,"Now in its 132nd season, the Boston Symphony Orchestra gave its inaugural concert on October 22, 1881, and has continued to uphold the vision of its founder Henry Lee Higginson.",http://www.tripadvisor.com/Attraction_Review-g60745-d588567-Reviews-Boston_Symphony_Orchestra-Boston_Massachusetts.html,4,2,1,3,2,3,5,arts,b
Museum of Fine Arts,A,"Boston's oldest, largest and best-known art institution, the MFA houses one of the world's most comprehensive art collections.",http://www.tripadvisor.com/Attraction_Review-g60745-d105257-Reviews-Museum_of_Fine_Arts-Boston_Massachusetts.html,3,1,2,2,1,3,5,arts,b
Boston Public Garden,N,"This Frederick Law Olmsted-designed park, famous for its Swan Boats, has over 600 varieties of trees and an ever-changing array of flowers. It is America's first public garden.",http://www.tripadvisor.com/Attraction_Review-g60745-d103648-Reviews-Boston_Public_Garden-Boston_Massachusetts.html,2,2,2,1,3,2,4,nature,b
Fenway Park,PA,Fenway Park is the oldest Major League baseball park in the United States.,http://www.tripadvisor.com/Attraction_Review-g60745-d105250-Reviews-Fenway_Park-Boston_Massachusetts.html,2,3,2,2,1,2,4,sports,b
Freedon Trail,H,"Welcome to the Freedom Trail, a 2.5-mile, brick-lined route that leads you to 16 historically significant sites, each one an authentic treasure.",http://www.tripadvisor.com/Attraction_Review-g60745-d104604-Reviews-Freedom_Trail-Boston_Massachusetts.html,2,3,3,1,2,3,4,historic,b
North End,H,"This Italian neighborhood, Boston's oldest, is known for its wonderful restaurants and historic sights.",http://www.tripadvisor.com/Attraction_Review-g60745-d103113-Reviews-North_End-Boston_Massachusetts.html,2,3,2,2,2,2,4,historic,b
Boston Public Library,PA,The Boston Public Library was the first large municipally-funded public library in America.,http://www.tripadvisor.com/Attraction_Review-g60745-d104816-Reviews-Boston_Public_Library-Boston_Massachusetts.html,2,1,1,1,3,2,4,arts,b
Boston Harbor Islands Nation Park,N,This National Park consists of 34 small islands just off shore in Boston Harbor. ,http://www.tripadvisor.com/Attraction_Review-g60745-d107180-Reviews-Boston_Harbor_Islands_National_Park-Boston_Massachusetts.html,4,3,3,2,1,2,4,nature,b
Old North Church,H,The signal from the steeple of Boston's oldest church triggered the War for Independence that led to the birth of America.,http://www.tripadvisor.com/Attraction_Review-g60745-d104871-Reviews-Old_North_Church-Boston_Massachusetts.html,2,3,1,1,3,2,4,historic,b
New England Holocaust Memorial,H,"The six glass towers of this striking memorial serve to represent the six million Jews who perished in the Holocaust, six main Nazi death camps and the candles on a menorah.",http://www.tripadvisor.com/Attraction_Review-g60745-d104794-Reviews-New_England_Holocaust_Memorial-Boston_Massachusetts.html,2,3,2,1,2,2,4,historic,b
Boston Common,N,"Whether it's a summer picnic in the grass or winter ice-skating on Frog Pond, Boston's oldest public park is the perfect escape from the bustle of the city.",http://www.tripadvisor.com/Attraction_Review-g60745-d104795-Reviews-Boston_Common-Boston_Massachusetts.html,2,3,2,1,1,2,4,nature,b
USS Constitution Museum,H,"At the USS Constitution Museum you don't just learn about history, you EXPERIENCE it! Furl a a sail, fire a cannon, and scrub the decks to learn what life was like at sea over 200 years ago.",http://www.tripadvisor.com/Attraction_Review-g60745-d104828-Reviews-USS_Constitution_Museum-Boston_Massachusetts.html,2,3,2,1,2,2,3,historic,b
Castle Island,N,"The site of a fort erected in 1634, Castle Island is a great place to walk, jog or just unwind and enjoy the view.",http://www.tripadvisor.com/Attraction_Review-g60745-d103642-Reviews-Castle_Island-Boston_Massachusetts.html,2,3,2,2,3,1,4,nature,b
Museum of Science,A,"Spend a couple of hours or the whole day at this hands-on museum that has something exciting for everyone. Touch a lizard, watch chickens hatching, see lightning being created and enjoy hundreds of other exhibits, where you can't help but learn something new about science and technology.",http://www.tripadvisor.com/Attraction_Review-g60745-d104912-Reviews-Museum_of_Science-Boston_Massachusetts.html,3,3,2,2,1,3,4,arts,b
Boston Tea Party Ships & Museum,H," At the Boston Tea Party Ships and Museum, you can be a part of the famous event that forever changed the course of American History! ",http://www.tripadvisor.com/Attraction_Review-g60745-d103645-Reviews-Boston_Tea_Party_Ships_Museum-Boston_Massachusetts.html,2,3,2,1,1,2,4,historic,b
Newbury Street,PA,Boston's chic shopping address mixes elegant boutiques with funky salons and trendy galleries.,http://www.tripadvisor.com/Attraction_Review-g60745-d105255-Reviews-Newbury_Street-Boston_Massachusetts.html,3,2,2,3,1,3,4,shopping,b
Boston Children's Museum,A,"Highlights of this interactive museum include the ""Science Playground,"" featuring giant soap bubble-making tools and the ""New Balance Climb,"" which teaches kids the laws of physics while navigating through a two-story-high maze.",http://www.tripadvisor.com/Attraction_Review-g60745-d103646-Reviews-Boston_Children_s_Museum-Boston_Massachusetts.html,2,3,2,2,1,2,4,arts,b
Mapparium,A," This world-famous, three-story globe is one of the key attractions at The Mary Baker Eddy Library and has been visited by more than 10 million people since it was constructed in 1935. ",http://www.tripadvisor.com/Attraction_Review-g60745-d144269-Reviews-Mapparium-Boston_Massachusetts.html,2,3,1,1,1,1,4,arts,b
Opera House,A,"The Boston Opera House is a performing arts venue, dedicated in 1980 as home of the opera company.",http://www.tripadvisor.com/Attraction_Review-g60745-d546521-Reviews-Opera_House-Boston_Massachusetts.html,3,2,1,3,3,2,4,arts,b
Blue Man Group,A,"The organization produces theatrical shows and concerts featuring experimental music, comedy and multimedia.",http://www.tripadvisor.com/Attraction_Review-g60745-d1206684-Reviews-Blue_Man_Group-Boston_Massachusetts.html,2,3,1,2,1,3,4,arts,b
Charles River Esplanade,N,"A popular path for walkers, joggers, bladers and bicyclists, the Esplanade is also home to the Hatch Shell, where the Boston Pops holds its annual summer concerts.",http://www.tripadvisor.com/Attraction_Review-g60745-d142572-Reviews-Charles_River_Esplanade-Boston_Massachusetts.html,2,1,3,1,3,2,4,nature,b
Symphony Hall,A,"ÊDesigned by McKim, Mead and White, it was built in 1900 for the Boston Symphony Orchestra, which continues to make the hall its home.",http://www.tripadvisor.com/Attraction_Review-g60745-d216262-Reviews-Symphony_Hall-Boston_Massachusetts.html,3,2,1,3,3,2,4,arts,b
Copley Square,PA,"Anchored by the modern John Hancock building and the stately Trinity Church, this area is known for its upscale restaurants and stores.",http://www.tripadvisor.com/Attraction_Review-g60745-d104793-Reviews-Copley_Square-Boston_Massachusetts.html,2,2,2,2,1,3,4,shopping,b
Skywalk Observatory,PA,"Visit the Skywalk Observatory, Boston's only sky-high vantage point for sweeping 360 degree views of Greater Boston and beyond.",http://www.tripadvisor.com/Attraction_Review-g60745-d603296-Reviews-Skywalk_Observatory-Boston_Massachusetts.html,2,2,1,2,1,3,4,landmark,b
