Neptune Oyster,d,seafood,http://www.yelp.com/biz/neptune-oyster-boston,2,2,1,3,1,3,5,Seafood,b
Island Creek Oyster Bar,d,seafood,http://www.yelp.com/biz/island-creek-oyster-bar-boston,2,2,1,3,1,2,5,Seafood,b
Giacomo's Ristorante,d,italian,http://www.yelp.com/biz/giacomos-ristorante-boston,2,3,1,2,2,2,5,Italian,b
Drink,d,american,http://www.yelp.com/biz/drink-boston,2,3,1,3,1,2,4,American,b
Zo,d,greek,http://www.yelp.com/biz/zo-boston,2,1,1,1,2,1,4,Greek,b
Toro,d,tapas,http://www.yelp.com/biz/toro-boston,2,2,1,3,1,2,4,Tapas,b
L 'Espalier,d,french,http://www.yelp.com/biz/l-espalier-boston,2,2,1,3,1,2,5,French,b
Menton,d,french,http://www.yelp.com/biz/menton-boston,2,2,1,3,1,1,5,French,b
No. 9 Park,d,french,http://www.yelp.com/biz/no-9-park-boston,2,2,1,3,2,2,4,French,b
Atlantic Fish Company,d,seafood,http://www.yelp.com/biz/atlantic-fish-company-boston,2,3,1,2,2,2,4,Seafood,b
Mistral Restaurant,d,french,http://www.yelp.com/biz/mistral-restaurant-boston,2,2,1,3,2,2,4,French,b
The Capital Grille,d,steakhouse,http://www.yelp.com/biz/the-capital-grille-boston,2,2,1,3,1,3,5,Steakhouse,b
Rino's Place,d,italian,http://www.yelp.com/biz/rinos-place-boston,2,1,1,2,1,2,4,Italian,b
Pomodoro,d,italian,http://www.yelp.com/biz/pomodoro-boston,2,1,1,1,2,1,4,Italian,b
Eastern Standard Kitchen,d,american,http://www.yelp.com/biz/eastern-standard-kitchen-boston-2,2,3,1,2,1,3,4,American,b
The Daily Catch,l,italian,http://www.yelp.com/biz/the-daily-catch-boston,2,2,1,2,3,3,4,Italian,b
Belle Isle Lobster & Seafood,d,seafood,http://www.yelp.com/biz/belle-isle-lobster-and-seafood-boston,2,3,1,2,1,2,5,Seafood,b
Saus,d,belgian,http://www.yelp.com/biz/saus-boston,1,3,1,1,1,1,4,Belgian,b
James Hook & Co Lobsters,d,seafood,http://www.yelp.com/biz/james-hook-and-co-lobsters-boston,2,2,1,2,2,2,4,Seafood,b
