Ambassador Theatre,A,The Ambassador Theater is an independent site that brings together a complete guide to all arts events at different Ambassador Theater venues.,ambassadortheatre.com,2,2,2,2,2,2,4,nyc,d
American Folk Art Museum,H,A institution devoted to the appreciation of traditional folk art and of contemporary self-taught artists.,folkartmuseum.org,2,2,2,2,2,2,4,nyc,d
American Museum of Natural History,A,"The American Museum of Natural History is a scientific research and education institution, with collections of more than 32 million specimens and artifacts.",amnh.org,4,2,3,2,2,3,4,nyc,d
APT,NL,A West Village bar that caters to locals and out-of-towners alike,http://aptwebsite.com/,2,2,2,2,2,2,4,nyc,n
Balthazar,NL,A SoHo French bistro perfect for people-watching. ,http://www.balthazarny.com/,2,1,2,3,2,2,4,nyc,n
Bar Veloce,NL,A pretty Chelsea wine bar that serves light Italian fare.,http://barveloce.com/,2,2,2,2,2,2,4,nyc,n
Beacon Theatre,A,"After a $16 million restoration, the Beacon Theatre has maintained its rock and roll spirit during a 84-year run as the city's premier concert venue.",beacontheatre.com,3,2,2,3,2,3,5,nyc,n
Belvedere Castle,H,An amazing piece of history located within Central Park.,centralparknyc.org,2,3,2,1,2,3,4,nyc,d
Biddy Early's Pub,NL,"A pub where you can listen to live music, and play beer pong. ",http://www.biddyearlyspub.com/index.htm,2,2,2,1,1,2,5,nyc,n
Bronx Zoo,PA,"The Bronx Zoo in Bronx Park is home to 4,000 animals, making it one of the world's larget metroplitan zoos.",bronxzoo.com,4,3,3,2,3,3,5,nyc,d
Brooklyn Bridge,PA,"A National Historic Landmark, the Brooklyn Bridge was the longest suspension bridge when it opened in 1883.",nyc.gov/html/dot/html/bridges/brooklyn_bridge.shtml,2,3,2,1,2,3,5,nyc,d
Bryant Park,PA,A public park of New York City and a scenic landmark.,bryantpark.org,2,3,3,1,1,3,5,nyc,d
Campbell Apartment,NL,"Located in Grand Central Terminal, this bar harkens the roaring 20s and is frequented by commuters and tourists.",http://www.hospitalityholdings.com/,2,2,2,2,2,2,4,nyc,n
Carnegie Hall,PA,"Famous for hosting virtually every great muscisian, Carnegie Hall offers two means of admittance: an expensive ticket, or years of practice.",carnegiehall.org,3,2,2,3,2,3,5,nyc,d
Central Park,PA,"Initially opened in 1857, the Central Park is a public park at the center of Manhattan, occupying 843 acres of city-owned land.",centralparknyc.org,3,3,3,1,1,3,5,nyc,d
Central Park Zoo,PA,"Oasis of wildlife in downtown Manhattan where visitors can encounter more than 1,400 animals in a variety of habitats, including a tropical rain forest to view rare birds and icy Antarctica to view penguins and other chilly creatures.",http://www.tripadvisor.com/Attraction_Review-g60763-d267703-Reviews-Central_Park_Zoo-New_York_City_New_York.html,3,3,3,2,1,3,5,nyc,d
Children's Museum of Manhattan,PA,A Children's Museum located in Upper West Side and a great place for kids,cmom.org,2,3,2,2,1,2,4,nyc,d
Chrysler Building,PA,The Chrysler Building is an Art Deco style skyscraper located on the east side of Manhattan.,http://www.tripadvisor.com/Attraction_Review-g60763-d104360-Reviews-Chrysler_Building-New_York_City_New_York.html,2,1,2,2,2,3,4,nyc,d
Columbia University,PA,Columbia University was founded in 1754 as King's College by royal charter of King George II of England. It is the oldest institution of higher learning in the New York and the fifth oldest in the US.,columbia.edu,2,1,2,1,1,3,5,nyc,d
El Museo Del Barrio,H," Reopened in fall 2009, this museum is devoted to Caribbean and Latin American art and culture.",elmuseo.org,3,1,2,1,2,3,4,nyc,d
Ellis Island,N,"Ellis Island, a symbol of American immigration and of the immigrant experience.",ellisisland.org,2,3,2,2,1,3,5,nyc,d
Empire State Building,PA,The Empire State Building is a 102-story skyscraper located in Midtown Manhattan.,esbnyc.com,4,2,2,2,2,3,5,nyc,d
Employees Only,NL,"If you can find this cozy hangouts low-key entrance and actually get in,  you will be just rewarded by high-quality classic cocktails.",http://www.tripadvisor.com/Restaurant_Review-g60763-d479309-Reviews-Employees_Only-New_York_City_New_York.html,2,2,2,1,1,2,4,nyc,n
Fifth Avenue,PA,"Fifth Avenue, famous for shopping with a plethora of high-end stores.",wikipedia.org/wiki/Fifth_Avenue,2,3,3,3,1,3,5,nyc,n
Flatiron Building,H,"Designed by Daniel Burnham, a building that resembles an iron.",http://www.tripadvisor.com/Attraction_Review-g60763-d104363-Reviews-Flatiron_Building-New_York_City_New_York.html,2,3,2,1,2,3,5,nyc,d
Freedom Tower,PA,"Also known as One World Trade Center, this tower is constructed next to the site of the Twin Towers and will be 1,776 feet high once finished.",http://www.gregallegretti.com/supertall/,2,2,2,1,2,3,5,nyc,n
Frick Collection,A,"TheFrick Collection includes some of the best-known paintings by the greatest European artists, major works of sculpture, and is a leading site for research.",frick.org,2,2,2,2,2,3,5,nyc,d
Grand Central Terminal,PA,"One of the nation's most historical landmark, the Grand Central Terminal remains the busiest train station in the country.",grandcentralterminal.com,2,2,2,1,2,3,5,nyc,d
Greenwich Village,PA,A largely residential neighborhood on the west side of Lower Manhattan.,nycgv.com,2,3,2,1,2,3,5,nyc,d
World Trade Center Site,PA,A dedication to the men and women at World Trade Cente ground zero.,en.wikipedia.org/wiki/World_Trade_Center_site,2,2,2,1,2,3,5,nyc,d
