Marin Headlands,N,These headlands offer great views due to a suspension bridge and hiking trail.,http://www.tripadvisor.com/Attraction_Review-g60713-d103182-Reviews-Marin_Headlands-San_Francisco_California.html,3,2,3,1,2,3,4,sf
Lands End,N,Hiking trails that connect the Legion of Honor to the Golden Gate Bridge,http://www.tripadvisor.com/Attraction_Review-g60713-d117409-Reviews-Lands_End-San_Francisco_California.html,3,2,3,1,2,3,4,sf
Golden Gate Bridge,"N, PA",The Golden Gate Bridge is an iconic symbol nestled in San Francisco Harbor.,http://www.tripadvisor.com/Attraction_Review-g60713-d104675-Reviews-Golden_Gate_Bridge-San_Francisco_California.html,2,2,2,1,2,3,5,sf
AT&T,"PA, S",ATT Park has sweeping views of the city and of the Bay and is the home of the Giants.,http://www.tripadvisor.com/Attraction_Review-g60713-d557330-Reviews-AT_T_Park-San_Francisco_California.html,1,2,2,2,2,3,4,sf
Alcatraz,"PA, H","Alcatraz Island, located in the middle of San Francisco Bay, is a must-see attraction for any visitor to the area.",http://www.tripadvisor.com/Attraction_Review-g60713-d102523-Reviews-Alcatraz-San_Francisco_California.html,2,2,3,2,2,3,5,sf
San Francisco Magic Show,PA,San Francisco’s Aquarium of the Bay at Pier 39 proudly presents “The San Francisco Magic Show” at the newly remodeled 270 seat Bay Theater,http://www.tripadvisor.com/Attraction_Review-g60713-d2444698-Reviews-San_Francisco_Magic_Show-San_Francisco_California.html,1,2,2,2,2,3,4,sf
San Francisco Bay,"PA, H","Offers hiking and biking along its shores, paddling and sailing on top of its surface, and bird-watching and exploring among its wetlands.",http://www.tripadvisor.com/Attraction_Review-g60713-d106745-Reviews-San_Francisco_Bay-San_Francisco_California.html,2,2,2,1,2,3,5,sf
Beach Blanket Babylon,"PA, A","On June 7, 1974, Steve Silver produced a small show in the back room of the Savoy Tivoli Restaurant in San Francisco.",http://www.tripadvisor.com/Attraction_Review-g60713-d142394-Reviews-Beach_Blanket_Babylon-San_Francisco_California.html,2,2,2,2,2,3,4,sf
San Francisco Opera,"PA, A"," Opera season runs September through November.  Generally a dozen Operas are staged each season, running in repertory.  ",http://www.tripadvisor.com/Attraction_Review-g60713-d142412-Reviews-San_Francisco_Opera-San_Francisco_California.html,2,2,2,2,2,3,4,sf
Land's End Trail,"PA, N"," An easy three-mile walk past Sutro Baths, the Legion of Honor Museum, and along cliffs with beautiful views of the Marin Headlands and the Golden Gate",http://www.tripadvisor.com/Attraction_Review-g60713-d1869355-Reviews-Land_s_End_Trail-San_Francisco_California.html,4,2,2,1,2,3,5,sf
Legion of Honor,"PA, A",An outstanding collection of European art in a gorgeous hilltop museum setting.,http://www.tripadvisor.com/Attraction_Review-g60713-d156333-Reviews-Legion_of_Honor-San_Francisco_California.html,2,2,1,2,2,3,4,sf
Walt Disney Family Museum,"PA, H","The Walt Disney History Museum is a wonderful museum dedicated to the life and times of Walt and his family, business associates, friends, etc.",http://www.tripadvisor.com/Attraction_Review-g60713-d1556974-Reviews-Walt_Disney_Family_Museum-San_Francisco_California.html,2,2,2,2,2,2,3,sf
Twin Peaks,"PA, N"," A twenty-minute ride from downtown, this is the best place to catch a San Francisco sunrise.",http://www.tripadvisor.com/Attraction_Review-g60713-d105363-Reviews-Twin_Peaks-San_Francisco_California.html,2,2,2,1,2,2,4,sf
Golden Gate Park,"PA, N","Golden Gate Park  is a large park with gardens and museums such as the California Academy of Science,  the DeYong Museum, and the Japanese tea gardens.",http://www.tripadvisor.com/Travel-g60713-d311684/San-Francisco:California:Golden.Gate.Park.html,2,2,2,1,2,2,4,sf
Palace of Fine Arts,"PA, A","The Palace of Fine Arts was built for the 1915 Panama-Pacific International Expo, which San Francisco hosted.",http://www.tripadvisor.com/Attraction_Review-g60713-d104538-Reviews-Palace_of_Fine_Arts-San_Francisco_California.html,1,2,2,2,2,3,4,sf
Asian Art Museum,"PA, A","The Asian Art Museum is one of the best Asian art museums in the world so plan on spending several hours. The best introduction to the museum is to take one of the many free hour-long guided tours held daily of the museum's permanent collection, then return to those galleries that interest you the most on your own.",http://www.tripadvisor.com/Travel-g60713-d103857/San-Francisco:California:Asian.Art.Museum.html,2,2,2,2,2,3,3,sf
Crissy Field,N,"A popular park for jogging, picnics, biking, and sightseeing.",http://www.tripadvisor.com/Attraction_Review-g60713-d144990-Reviews-Crissy_Field-San_Francisco_California.html,1,2,2,1,2,1,3,sf
San Francisco Symphony,"A, H, PA","Presents and performs over 220 concerts annually, from September through July. In 2011-12 celebrates its 100th centennial season",http://www.tripadvisor.com/Attraction_Review-g60713-d142413-Reviews-San_Francisco_Symphony-San_Francisco_California.html,2,2,2,3,2,2,4,sf
Cable Car Museum,"PA, H","A museum to San Francisco's beloved cable cars, with a subterranean walkway that lets you see the moving cable.",http://www.tripadvisor.com/Attraction_Review-g60713-d104939-Reviews-Cable_Car_Museum-San_Francisco_California.html,2,2,2,1,2,3,5,sf
California Academy of Sciences,"PA, N","The world’s only aquarium-planetarium-rainforest-living museum.Come nose-to-beak with penguins and parrots, watch sharks and sting rays cruise beneath your feet, and feel the spray of the California coast. Fly to Mars (and beyond the Milky Way!) from the safety of your planetarium seat, take a virtual safari in African Hall, or climb into the canopy of a living rainforest. Face your fears—and an albino alligator—inside the Swamp, and meet scientists as they return from research expeditions around the world. From the depths of a Philippine coral reef to the outer reaches of the Universe, it's all inside the California Academy of Sciences.",http://www.tripadvisor.com/Attraction_Review-g60713-d117078-Reviews-California_Academy_of_Sciences-San_Francisco_California.html,2,2,2,2,2,3,4,sf
Filbert Steps,"PA, N",A 284 foot wooden-step walkway leading up to the top of Telegraph Hill.,http://www.tripadvisor.com/Attraction_Review-g60713-d142463-Reviews-Filbert_Steps-San_Francisco_California.html,2,2,3,1,2,2,4,sf
Angel Island State Park,"PA, N, H","The largest island in San Francisco Bay features magnificent views of Marin County and San Francisco, while offering a wide variety of recreation for outdoor enthusiasts.",http://www.tripadvisor.com/Attraction_Review-g60713-d208341-Reviews-Angel_Island_State_Park-San_Francisco_California.html,2,2,2,2,2,2,4,sf
